Language	Split	Size	Replacement	Model	Score
nahuatl	29	500	without	3-CRF	65.246
nahuatl	30	500	without	Morfessor	22.766000000000002
nahuatl	30	500	without	Seq2seq	53.4
nahuatl	30	500	without	0-CRF	57.314
nahuatl	30	500	without	1-CRF	65.25
nahuatl	30	500	without	2-CRF	65.42
nahuatl	30	500	without	3-CRF	67.164
nahuatl	30	500	without	4-CRF	67.422
nahuatl	31	500	without	Morfessor	23.264
nahuatl	31	500	without	Seq2seq	54.116
nahuatl	31	500	without	0-CRF	57.384
nahuatl	31	500	without	2-CRF	64.9
nahuatl	31	500	without	1-CRF	64.91199999999999
nahuatl	31	500	without	4-CRF	65.84
nahuatl	31	500	without	3-CRF	66.314
nahuatl	32	500	without	Morfessor	23.362000000000002
nahuatl	32	500	without	0-CRF	55.382
nahuatl	32	500	without	Seq2seq	55.444
nahuatl	32	500	without	2-CRF	66.05799999999999
nahuatl	32	500	without	1-CRF	66.242
nahuatl	32	500	without	3-CRF	66.654
nahuatl	32	500	without	4-CRF	67.598
nahuatl	33	500	without	Morfessor	23.732
nahuatl	33	500	without	Seq2seq	54.112
nahuatl	33	500	without	0-CRF	57.484
nahuatl	33	500	without	4-CRF	67.736
nahuatl	33	500	without	3-CRF	68.20400000000001
nahuatl	33	500	without	2-CRF	68.73
nahuatl	33	500	without	1-CRF	68.828
nahuatl	34	500	without	Morfessor	23.852
nahuatl	34	500	without	Seq2seq	52.688
nahuatl	34	500	without	0-CRF	55.244
nahuatl	34	500	without	2-CRF	61.754
nahuatl	34	500	without	1-CRF	61.808
nahuatl	34	500	without	3-CRF	62.858
nahuatl	34	500	without	4-CRF	63.33
nahuatl	35	500	without	Morfessor	21.042
nahuatl	35	500	without	Seq2seq	53.118
nahuatl	35	500	without	0-CRF	54.476
nahuatl	35	500	without	4-CRF	62.660000000000004
nahuatl	35	500	without	1-CRF	63.352
nahuatl	35	500	without	2-CRF	63.5
nahuatl	35	500	without	3-CRF	63.532000000000004
nahuatl	36	500	without	Morfessor	23.436
nahuatl	36	500	without	Seq2seq	54.382000000000005
nahuatl	36	500	without	0-CRF	56.886
nahuatl	36	500	without	1-CRF	64.706
nahuatl	36	500	without	4-CRF	65.104
nahuatl	36	500	without	2-CRF	65.352
nahuatl	36	500	without	3-CRF	65.468
nahuatl	37	500	without	Morfessor	24.226
nahuatl	37	500	without	Seq2seq	52.92
nahuatl	37	500	without	0-CRF	55.252
nahuatl	37	500	without	1-CRF	61.24
nahuatl	37	500	without	2-CRF	61.38
nahuatl	37	500	without	3-CRF	61.796
nahuatl	37	500	without	4-CRF	62.296
nahuatl	38	500	without	Morfessor	21.736
nahuatl	38	500	without	0-CRF	55.36
nahuatl	38	500	without	Seq2seq	57.004
nahuatl	38	500	without	1-CRF	65.242
nahuatl	38	500	without	3-CRF	65.318
nahuatl	38	500	without	2-CRF	65.588
nahuatl	38	500	without	4-CRF	65.65
nahuatl	39	500	without	Morfessor	21.814
