Language	Split	Size	Replacement	Model	Score
persian	30	4000	without	2-CRF	68.916
persian	31	4000	without	Morfessor	20.456
persian	31	4000	without	0-CRF	60.256
persian	31	4000	without	Seq2seq	66.99
persian	31	4000	without	2-CRF	70.292
persian	31	4000	without	4-CRF	70.306
persian	31	4000	without	3-CRF	70.334
persian	31	4000	without	1-CRF	70.354
persian	32	4000	without	Morfessor	19.992
persian	32	4000	without	0-CRF	58.232
persian	32	4000	without	Seq2seq	66.324
persian	32	4000	without	1-CRF	68.144
persian	32	4000	without	2-CRF	68.192
persian	32	4000	without	4-CRF	68.268
persian	32	4000	without	3-CRF	68.35
persian	33	4000	without	Morfessor	20.774
persian	33	4000	without	0-CRF	57.916
persian	33	4000	without	Seq2seq	66.596
persian	33	4000	without	1-CRF	69.23400000000001
persian	33	4000	without	2-CRF	69.36
persian	33	4000	without	3-CRF	69.402
persian	33	4000	without	4-CRF	69.424
persian	34	4000	without	Morfessor	18.584
persian	34	4000	without	0-CRF	57.660000000000004
persian	34	4000	without	Seq2seq	64.382
persian	34	4000	without	4-CRF	67.552
persian	34	4000	without	3-CRF	67.61
persian	34	4000	without	2-CRF	67.668
persian	34	4000	without	1-CRF	67.814
persian	35	4000	without	Morfessor	19.152
persian	35	4000	without	0-CRF	58.482
persian	35	4000	without	Seq2seq	65.056
persian	35	4000	without	4-CRF	68.61
persian	35	4000	without	3-CRF	68.646
persian	35	4000	without	1-CRF	68.702
persian	35	4000	without	2-CRF	68.716
persian	36	4000	without	Morfessor	19.946
persian	36	4000	without	0-CRF	57.612
persian	36	4000	without	Seq2seq	65.792
persian	36	4000	without	4-CRF	68.974
persian	36	4000	without	2-CRF	69.106
persian	36	4000	without	3-CRF	69.13000000000001
persian	36	4000	without	1-CRF	69.162
persian	37	4000	without	Morfessor	19.516
persian	37	4000	without	0-CRF	59.086
persian	37	4000	without	Seq2seq	66.19200000000001
persian	37	4000	without	4-CRF	68.746
persian	37	4000	without	1-CRF	68.804
persian	37	4000	without	2-CRF	68.822
persian	37	4000	without	3-CRF	68.88
persian	38	4000	without	Morfessor	20.227999999999998
persian	38	4000	without	0-CRF	58.284
persian	38	4000	without	Seq2seq	65.96000000000001
persian	38	4000	without	1-CRF	68.568
persian	38	4000	without	2-CRF	68.578
persian	38	4000	without	4-CRF	68.65
persian	38	4000	without	3-CRF	68.826
persian	39	4000	without	Morfessor	19.55
persian	39	4000	without	0-CRF	59.160000000000004
persian	39	4000	without	Seq2seq	66.076
persian	39	4000	without	1-CRF	68.756
persian	39	4000	without	2-CRF	68.818
persian	39	4000	without	3-CRF	68.826
persian	39	4000	without	4-CRF	68.968
persian	40	4000	without	Morfessor	19.352
persian	40	4000	without	0-CRF	58.204
persian	40	4000	without	Seq2seq	65.122
persian	40	4000	without	4-CRF	68.032
persian	40	4000	without	3-CRF	68.114
persian	40	4000	without	2-CRF	68.142
persian	40	4000	without	1-CRF	68.29
persian	41	4000	without	Morfessor	19.36
persian	41	4000	without	0-CRF	59.314
persian	41	4000	without	Seq2seq	66.122
persian	41	4000	without	4-CRF	69.65
persian	41	4000	without	3-CRF	69.76
persian	41	4000	without	2-CRF	69.91
persian	41	4000	without	1-CRF	69.988
persian	42	4000	without	Morfessor	18.876
persian	42	4000	without	0-CRF	57.984
persian	42	4000	without	Seq2seq	64.986
persian	42	4000	without	2-CRF	67.67
persian	42	4000	without	4-CRF	67.756
persian	42	4000	without	1-CRF	67.822
persian	42	4000	without	3-CRF	67.902
persian	43	4000	without	Morfessor	18.73
persian	43	4000	without	0-CRF	58.194
persian	43	4000	without	Seq2seq	65.82600000000001
persian	43	4000	without	1-CRF	69.218
persian	43	4000	without	3-CRF	69.394
persian	43	4000	without	2-CRF	69.408
persian	43	4000	without	4-CRF	69.476
persian	44	4000	without	Morfessor	18.744
persian	44	4000	without	0-CRF	59.196
persian	44	4000	without	Seq2seq	65.596
persian	44	4000	without	1-CRF	69.312
persian	44	4000	without	2-CRF	69.37599999999999
persian	44	4000	without	4-CRF	69.396
persian	44	4000	without	3-CRF	69.456
persian	45	4000	without	Morfessor	18.53
persian	45	4000	without	0-CRF	57.617999999999995
persian	45	4000	without	Seq2seq	66.892
persian	45	4000	without	1-CRF	69.034
persian	45	4000	without	2-CRF	69.084
persian	45	4000	without	4-CRF	69.214
persian	45	4000	without	3-CRF	69.276
persian	46	4000	without	Morfessor	19.828
persian	46	4000	without	0-CRF	57.769999999999996
persian	46	4000	without	Seq2seq	65.664
persian	46	4000	without	3-CRF	68.55
persian	46	4000	without	1-CRF	68.73
persian	46	4000	without	2-CRF	68.748
persian	46	4000	without	4-CRF	69.074
persian	47	4000	without	Morfessor	19.55
persian	47	4000	without	0-CRF	57.924
persian	47	4000	without	Seq2seq	65.046
